Gender,Race,Total_Patients,Avg_Age,Alzheimer,Heart_Failure,Kidney_Disease,Cancer,Pulmonary_Disease,Depression,Diabetes,Ischemic_Heart,Osteoporosis,Rheumatoid_Arthritis,Stroke,Renal_Disease,Avg_IP_Reimbursement,Avg_OP_Reimbursement
Female,Hispanic,1647,89,1066,856,1130,1468,1256,1034,642,546,1207,1212,1531,0,3271.58,1301.23
Male,White,50450,89,34178,25831,34929,44024,38758,33242,20655,16398,36988,37791,46524,0,3609.17,1265.7
Male,Black,5478,83,3652,2716,3690,4856,4171,3508,2255,1795,4073,4168,4988,0,4046.19,1395.38
Female,Black,8060,86,5238,3907,5402,7192,6047,5043,3032,2573,5791,6023,7367,0,3778.31,1446.06
Female,Asian,2792,90,1891,1526,2024,2510,2188,1825,1178,1012,2042,2108,2601,0,3264.76,1224.91
Female,White,66607,91,44052,33464,45652,58738,50513,42382,25932,21326,47756,49044,61304,0,3689.82,1301.46
Male,Hispanic,1255,84,853,636,833,1121,982,764,498,446,926,933,1164,0,3385.22,1293.14
Male,Asian,2267,87,1600,1218,1617,2026,1782,1498,973,816,1714,1693,2123,0,3503.38,1257.35
